case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,113,114,13086.0,17883.999999999996,21290.71999999999,11309.0,21774.149999999998,75686.61000000003,1.2175212480429436,0.1570251379180968,0.15834059061040298,0.017699115044247787,0.06140350877192982,0.043704393727682034,0.0,0.0,0.0,5.109013305825618e-10,-0.4857941313460643,0.0,False,False,4.087210644660494e-09,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,113,114,14930.0,65451.19999999994,90842.2,12281.0,22920.79999999995,64090.14000000015,0.35019678783582225,0.1570251379180968,0.15834059061040298,0.017699115044247787,0.0,-0.017699115044247787,0.0,0.0,0.0,2.2296260027292904e-14,-0.5934637478652383,0.0,False,False,2.0066634024563613e-13,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,112,115,179174.5,547229.65,959137.3000000002,143696.0,398582.19999999995,465518.66,0.7283636769316135,0.15563553492767115,0.15972954315961704,0.017857142857142856,0.0,-0.017857142857142856,0.0,0.0,0.0,4.944856106401464e-07,-0.39642857142857146,0.0,False,False,2.472428053200732e-06,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,76,74,6955.5,9953.5,11962.5,5380.5,6588.2,6973.87,0.6618978248857186,0.10560982727234829,0.10278248864184053,0.013157894736842105,0.0,-0.013157894736842105,0.0,0.0,0.0,1.798579470047519e-18,-0.837126600284495,0.0,False,False,1.978437417052271e-17,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},76,74,10253.0,14456.5,65797.75,8033.5,9421.499999999998,9974.199999999999,0.6517137619755818,0.10560982727234829,0.10278248864184053,0.013157894736842105,0.0,-0.013157894736842105,0.0,0.0,0.0,3.3392869418559494e-19,-0.8547297297297297,0.0,False,False,4.007144330227139e-18,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},264,247,61107.5,169826.84999999992,258609.65000000014,49459.0,104112.2,169467.57999999993,0.6130491144362629,0.3668551894723677,0.34307127965587314,0.011363636363636364,0.0,-0.011363636363636364,0.0,0.0,0.0,4.953060692134796e-22,-0.49728560912771436,0.0,False,False,6.438978899775234e-21,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,73,68,56409.0,198007.19999999992,234308.3200000001,87575.5,192688.4,201194.74,0.9731383505246277,0.10144101830107138,0.09444877334655616,0.0136986301369863,0.0,-0.0136986301369863,0.0,0.0,0.0,0.5147725227409323,0.11079774375503626,0.11079774375503626,False,False,0.5147725227409323,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,64,63,44797.0,59211.149999999994,128634.49999999978,70447.0,101386.5,165121.78,1.7122872972404692,0.08893459138724066,0.08750401060048586,0.015625,0.031746031746031744,0.016121031746031744,0.0,0.0,0.0,6.849150270214353e-18,0.8948412698412698,0.8948412698412698,False,False,6.849150270214353e-17,True
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,96,77,93561.0,129504.5,177660.19999999998,253065.0,1185282.6000000006,1437369.48,9.152443351389339,0.133401887080861,0.10694934628948272,0.010416666666666666,0.8961038961038961,0.8856872294372294,0.0,0.0,0.0,1.581691719091654e-28,0.9870129870129871,0.9870129870129871,False,False,2.2143684067283157e-27,True
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,18,25,722427.5,1152099.5999999996,1378202.3199999994,596891.0,1130736.2,1297497.0399999996,0.9814569851426043,0.025012853827661437,0.03472381373035153,0.05555555555555555,0.0,-0.05555555555555555,0.0,0.0,0.0,0.21370699831757706,-0.29333333333333333,0.0,False,False,0.4274139966351541,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/preserveservice/preserve,POST /api/v1/preserveservice/preserve (direct),POST /api/v1/preserveservice/preserve,58,49,757517.0,1828390.0499999998,2200623.56,819678.0,1831060.1999999997,2034993.3199999994,1.0014603831387072,0.08059697344468686,0.068058674911489,0.017241379310344827,0.0,-0.017241379310344827,0.0,0.0,0.0,0.04759951428454474,0.254750175932442,0.254750175932442,False,False,0.14279854285363422,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,803,831,374904.0,956672.4999999997,1133969.04,300310.0,613325.0,785394.3000000006,0.6411023626162561,1.1158512013117852,1.1542195683968848,0.0112079701120797,0.0,-0.0112079701120797,0.0,0.0,0.0,5.711633584666339e-48,-0.41721552601331047,0.0,False,False,8.567450376999509e-47,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,254,261,758313.5,1842766.8499999996,3132465.84,1004577.0,2090882.0,2437961.399999997,1.134642724878625,0.3529591595681114,0.36251661534487,0.011811023622047244,0.0,-0.011811023622047244,0.0,0.0,0.0,7.548558004784327e-10,0.319033396687483,0.319033396687483,False,False,5.283990603349029e-09,True
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::POST /api/v1/users/login,POST /api/v1/users/login (direct),POST /api/v1/users/login,901,917,239638.0,889336.0,1647882.0,219075.0,725996.7999999998,1089763.160000002,0.8163357831010999,1.2520322943734974,1.2736694876292942,0.009988901220865706,0.0010905125408942203,-0.008898388679971485,0.0,0.0,0.0,6.458772399198975e-06,-0.1261230403150746,0.0,False,False,2.58350895967959e-05,False
re2tt_ts-order-service_mem_1,mem,ts-order-service,direct::PUT /api/v1/consignservice/consigns,PUT /api/v1/consignservice/consigns (direct),PUT /api/v1/consignservice/consigns,87,72,33356.0,107093.20000000001,136771.70000000004,27971.0,202608.35,250618.0400000003,1.8918880937351763,0.12089546016703027,0.1000045835434124,0.011494252873563218,0.06944444444444445,0.05795019157088123,0.0,0.0,0.0,1.0279461446243482e-07,-0.5027139208173691,0.0,False,False,6.167676867746089e-07,False
