case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,113,112,11622.0,16002.79999999999,21676.47999999999,10972.0,17416.049999999996,19473.670000000002,1.0883126702827008,0.15694618829098103,0.1557095349845959,0.017699115044247787,0.008928571428571428,-0.00877054361567636,0.0,0.0,0.0,0.0003799925724435262,-0.2880056890012642,0.0,False,False,0.0034199331519917356,False
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,113,113,12085.0,15079.599999999999,18237.799999999996,11524.0,13639.199999999999,21655.079999999965,0.9044802249396536,0.15694618829098103,0.1570997986898155,0.017699115044247787,0.017699115044247787,0.0,0.0,0.0,0.0,0.002841409687489132,-0.2456731145743598,0.0,False,False,0.017048458124934794,False
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,114,112,135850.5,155206.19999999998,318722.6600000008,136963.0,149132.9,228412.28000000003,0.9608694755750737,0.15833509261214015,0.1557095349845959,0.017543859649122806,0.0,-0.017543859649122806,0.0,0.0,0.0,1.0,0.03814223057644117,0.03814223057644117,False,False,1.0,False
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,81,80,3671.0,4656.0,6665.200000000023,3526.5,4127.7,6769.639999999965,0.8865335051546391,0.11250125001388905,0.11122109641756849,0.012345679012345678,0.0125,0.00015432098765432237,0.0,0.0,0.0,0.0036293426687067126,-0.28487654320987654,0.0,False,False,0.018146713343533565,False
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},229,200,43494.0,52928.4,87476.35999999999,42404.5,50596.2,104897.15999999987,0.9559366993901194,0.31805908954543943,0.2780527410439212,0.013100436681222707,0.015,0.0018995633187772927,0.0,0.0,0.0,0.006168346659904272,-0.16556768558951962,0.0,False,False,0.024673386639617087,False
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,74,81,13163.0,15673.4,19421.48999999996,98706.0,104082.0,196400.6,6.640677836334172,0.10277891976577518,0.11261136012278809,0.013513513513513514,0.691358024691358,0.6778445111778445,0.0,0.0,0.0,2.9340696095124267e-16,0.7694361027694361,0.7694361027694361,False,False,3.2274765704636695e-15,True
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,54,58,16357.5,20354.399999999983,25816.879999999997,15497.0,17681.15,18201.74,0.8686647604449169,0.0750008333425927,0.08063529490273715,0.018518518518518517,0.0,-0.018518518518518517,0.0,0.0,0.0,0.0009218312730947609,-0.3844189016602809,0.0,False,False,0.007374650184758087,False
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,99,102,18420.0,23173.69999999999,29701.839999999902,115318.5,201748.3,202297.98,8.705916620997082,0.13750152779475328,0.1418068979323998,0.010101010101010102,0.9313725490196079,0.9212715389185978,0.0,0.0,0.0,3.027683761858332e-33,0.9857397504456329,0.9857397504456329,False,False,3.6332205142299986e-32,True
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,990,980,41795.5,50650.05,57935.15,41559.5,50744.2,54601.240000000005,1.0018588333081604,1.3750152779475329,1.362458431115214,0.010101010101010102,0.004081632653061225,-0.006019377447948877,0.0,0.0,0.0,0.5831695600201676,-0.027445887445887496,0.0,False,False,1.0,False
re2tt_ts-order-service_socket_2,socket,ts-order-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,239,268,44596.0,65109.2,69251.76,54023.5,65292.09999999999,73681.96999999996,1.002809126820787,0.33194813275703067,0.3725906729988544,0.012552301255230125,0.018656716417910446,0.006104415162680321,0.0,0.0,0.0,1.0,0.004465122088303186,0.004465122088303186,False,False,1.0,False
