case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,113,115,13153.0,17978.599999999988,25485.239999999998,12772.0,15983.199999999999,25899.84,0.8890124926301275,0.15703954061070316,0.15973420228739377,0.017699115044247787,0.02608695652173913,0.008387841477491342,0.0,0.0,0.0,0.1510806597401629,-0.13628318584070798,0.0,False,False,0.3021613194803258,False
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,114,114,13246.5,17332.999999999985,20784.120000000003,12776.0,15066.25,19363.40000000002,0.8692234466047432,0.15842927105858548,0.15834520922402512,0.017543859649122806,0.008771929824561403,-0.008771929824561403,0.0,0.0,0.0,0.0036360181343479156,-0.23907356109572175,0.0,False,False,0.021816108806087493,False
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,112,114,156287.0,221715.09999999992,277446.95,313979.0,399450.14999999997,425810.15,1.8016371009462149,0.15564981016282084,0.15834520922402512,0.017857142857142856,0.9824561403508771,0.9645989974937342,0.0,0.0,0.0,3.040936964211441e-37,0.9859022556390977,0.9859022556390977,False,False,3.345030660632585e-36,True
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,100,86,4038.0,5172.799999999998,7485.420000000025,3760.0,4831.25,7241.200000000068,0.9339719300958864,0.13897304478823289,0.11945340344970316,0.01,0.011627906976744186,0.0016279069767441857,0.0,0.0,0.0,0.00021220213716604733,-0.3301162790697675,0.0,False,False,0.0014854149601623314,False
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},221,232,44833.0,54395.0,98182.40000000037,44547.0,102617.65,104796.94,1.8865272543432299,0.30713042898199466,0.32224639070152483,0.013574660633484163,0.09051724137931035,0.07694258074582619,0.0,0.0,0.0,0.4918670666370131,0.06305585894835386,0.06305585894835386,False,False,0.4918670666370131,False
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,79,78,14363.0,18679.599999999962,39651.75999999994,13724.0,61239.099999999926,76726.82000000002,3.278394612304335,0.10978870538270398,0.10834145894275403,0.012658227848101266,0.07692307692307693,0.06426484907497566,0.0,0.0,0.0,0.01993802033562159,-0.23839662447257381,0.0,False,False,0.07975208134248636,False
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,57,69,16073.0,22830.199999999993,24739.879999999997,15099.0,17245.6,24505.91999999998,0.7553854105526892,0.07921463552929274,0.09584052137243626,0.017543859649122806,0.014492753623188406,-0.0030511060259344,0.0,0.0,0.0,9.179617901286287e-05,-0.4230867022629037,0.0,False,False,0.000734369432102903,False
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,100,96,19581.0,25420.549999999996,30243.530000000002,19110.0,22165.5,26717.049999999992,0.871952023067951,0.13897304478823289,0.13334333408338958,0.01,0.0,-0.01,0.0,0.0,0.0,0.06891588702633908,-0.17500000000000004,0.0,False,False,0.20674766107901724,False
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,1009,1000,42330.0,56539.79999999998,99171.87999999998,83039.5,100182.25,105324.43,1.7718890056208199,1.4022380219132697,1.3889930633686416,0.010901883052527254,0.068,0.05709811694747275,0.0,0.0,0.0,2.6137530833749375e-220,0.81700792864222,0.81700792864222,False,False,3.136503700049925e-219,True
re2tt_ts-route-service_cpu_3,cpu,ts-route-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,266,248,45255.5,67186.5,73223.85,84933.5,117535.6,188212.76,1.7493931072462474,0.36966829913669946,0.3444702797154231,0.011278195488721804,0.6935483870967742,0.6822701916080525,0.0,0.0,0.0,8.755923746648641e-37,0.6490722774678632,0.6490722774678632,False,False,8.755923746648641e-36,True
