case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,111,87,9586.0,11140.5,17132.60000000001,9592.0,10942.400000000001,15688.2,0.9822180333019166,0.15417437538543594,0.12085431498524049,0.018018018018018018,0.0,-0.018018018018018018,0.0,0.0,0.0,1.0,0.010976493735114445,0.010976493735114445,False,False,1.0,False
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,112,85,10275.0,11890.25,16194.230000000003,10047.0,12004.4,23072.679999999906,1.0096003027690754,0.15556333372224165,0.11807605487063727,0.017857142857142856,0.047058823529411764,0.029201680672268908,0.0,0.0,0.0,0.3664086496133663,-0.11092436974789921,0.0,False,False,1.0,False
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,112,85,126766.0,150912.65,185790.91,4148217.0,4481314.2,4593181.76,29.69475521104427,0.15556333372224165,0.11807605487063727,0.017857142857142856,1.0,0.9821428571428571,0.0,0.0,0.0,6.386215939732491e-33,1.0,1.0,False,False,7.663459127678989e-32,True
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,84,56,3584.5,4500.249999999999,6251.780000000013,3375.5,4006.75,4347.850000000001,0.8903394255874676,0.11667250029168125,0.07779128320889044,0.011904761904761904,0.0,-0.011904761904761904,0.0,0.0,0.0,0.005162938861878085,-0.3014455782312925,0.0,False,False,0.03097763317126851,False
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},84,56,5768.5,6957.049999999999,9595.820000000014,5529.5,6309.25,6617.700000000001,0.9068858208579786,0.11667250029168125,0.07779128320889044,0.011904761904761904,0.0,-0.011904761904761904,0.0,0.0,0.0,0.010600765120144006,-0.2789115646258503,0.0,False,False,0.05300382560072003,False
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},254,187,41180.0,55941.69999999999,100444.67999999998,442001.0,619652.6999999995,818686.4399999995,11.076758482491586,0.3527954175486552,0.259767320715402,0.011811023622047244,1.0,0.9881889763779528,0.0,0.0,0.0,8.819492362001502e-72,1.0,1.0,False,False,1.1465340070601952e-70,True
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,90,61,34814.5,52163.79999999999,71783.43999999997,13780.0,57859.0,88793.39999999998,1.10917916256101,0.1250062503125156,0.0847369334953985,0.011111111111111112,0.04918032786885246,0.038069216757741345,0.0,0.0,0.0,1.0,-0.025865209471766848,0.0,False,False,1.0,False
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,78,53,386417.5,438598.14999999997,465919.79000000004,420987.0,462228.19999999995,475727.44,1.0538763102397946,0.10833875027084687,0.07362389303698559,0.01282051282051282,0.05660377358490566,0.043783260764392845,0.0,0.0,0.0,2.2680423556655148e-08,0.5892597968069666,0.5892597968069666,False,False,1.8144338845324119e-07,True
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,104,70,583236.5,677983.85,716392.73,649523.0,699457.25,725726.56,1.0316724358552198,0.14445166702779583,0.09723910401111303,0.019230769230769232,0.04285714285714286,0.023626373626373626,0.0,0.0,0.0,1.1485315924815328e-15,0.7247252747252748,0.7247252747252748,False,False,1.2633847517296861e-14,True
re2tt_ts-route-service_delay_3,delay,ts-route-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,22,24,505499.5,542938.8,551130.82,2911059.0,2978218.25,3050956.59,5.485366398570151,0.03055708340972604,0.033339121375238756,0.045454545454545456,1.0,0.9545454545454546,0.0,0.0,0.0,1.3716573970975486e-08,1.0,1.0,False,False,1.2344916573877938e-07,True
