case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,109,111,13798.0,21299.399999999998,80917.04000000002,11794.0,18196.5,57264.900000000176,0.8543198399954929,0.15139645871182447,0.15416666666666667,0.01834862385321101,0.0,-0.01834862385321101,0.0,0.0,0.0,5.706033178706475e-16,-0.6383172162988677,0.0,False,False,5.706033178706475e-15,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,110,110,15802.5,74542.84999999999,89994.72,12263.5,16094.949999999997,25162.109999999986,0.2159154097274252,0.1527854170486302,0.1527777777777778,0.01818181818181818,0.0,-0.01818181818181818,0.0,0.0,0.0,6.059578418400463e-21,-0.7383471074380166,0.0,False,False,8.483409785760649e-20,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,110,110,194734.5,676162.2,798853.12,368232.0,1387042.7,1805784.5299999998,2.0513461119240324,0.1527854170486302,0.1527777777777778,0.01818181818181818,0.17272727272727273,0.15454545454545454,0.0,0.0,0.0,1.1695691816049589e-06,0.38991735537190086,0.38991735537190086,False,False,5.847845908024795e-06,True
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,70,73,7044.5,13678.299999999996,16383.620000000012,5251.0,6182.799999999996,7392.160000000002,0.45201523581146763,0.09722708357640103,0.10138888888888889,0.014285714285714285,0.0,-0.014285714285714285,0.0,0.0,0.0,9.915037980501577e-20,-0.888454011741683,0.0,False,False,1.189804557660189e-18,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},70,73,10212.0,14300.9,28290.520000000062,8061.0,9533.599999999999,28011.920000000035,0.6666433581103286,0.09722708357640103,0.10138888888888889,0.014285714285714285,0.0136986301369863,-0.0005870841487279847,0.0,0.0,0.0,2.1485788783007913e-15,-0.7772994129158513,0.0,False,False,1.718863102640633e-14,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},234,250,66791.0,201479.55,278451.9099999998,50213.0,260685.69999999998,465588.16999999975,1.293856870337461,0.3250162508125406,0.3472222222222222,0.01282051282051282,0.036,0.023179487179487177,0.0,0.0,0.0,3.909844798136877e-20,-0.48705982905982903,0.0,False,False,5.08279823757794e-19,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,79,68,54928.0,203848.3,253227.69999999978,19338.0,90959.0,132165.55999999988,0.44620926443831027,0.1097277086076526,0.09444444444444444,0.012658227848101266,0.0,-0.012658227848101266,0.0,0.0,0.0,1.9457134358988874e-06,-0.4694713328369322,0.0,False,False,7.78285374359555e-06,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,64,52,39342.5,79603.94999999988,213454.13999999972,76441.5,104528.69999999998,117111.59000000001,1.313109462532954,0.08889333355556667,0.07222222222222222,0.015625,0.0,-0.015625,0.0,0.0,0.0,8.195187060148045e-16,0.8810096153846154,0.8810096153846154,False,False,7.37566835413324e-15,True
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,108,90,66960.5,94521.65,142474.58999999988,115194.0,155261.4,171225.06,1.6426014569148972,0.15000750037501873,0.125,0.018518518518518517,0.1111111111111111,0.09259259259259259,0.0,0.0,0.0,1.1066719543608293e-26,0.8886831275720164,0.8886831275720164,False,False,1.660007931541244e-25,True
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,29,30,655754.0,1240508.9999999998,1514579.5599999996,705832.0,1335844.8999999997,1567839.1600000001,1.0768522437160875,0.040279791767366145,0.041666666666666664,0.034482758620689655,0.03333333333333333,-0.0011494252873563218,0.0,0.0,0.0,1.0,-0.0367816091954023,0.0,False,False,1.0,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::POST /api/v1/preserveservice/preserve,POST /api/v1/preserveservice/preserve (direct),POST /api/v1/preserveservice/preserve,41,43,760908.0,1901020.0,2325060.2000000007,736060.0,1357203.5,1385981.88,0.7139343615532714,0.05694729180903489,0.059722222222222225,0.024390243902439025,0.0,-0.024390243902439025,0.0,0.0,0.0,1.0,0.001701644923425949,0.001701644923425949,False,False,1.0,False
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,881,873,376579.0,1083719.0,1515275.000000001,508768.0,1302726.9999999998,1775399.3999999994,1.2020892869830646,1.2236722947258474,1.2125,0.01021566401816118,0.0286368843069874,0.01842122028882622,0.0,0.0,0.0,1.173854299011781e-18,0.24530465614285557,0.24530465614285557,False,False,1.2912397289129591e-17,True
re2tt_ts-route-service_loss_3,loss,ts-route-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,255,254,745983.0,2768834.899999997,3622466.320000002,905815.5,2061369.7499999995,2613090.89,0.7444899477393909,0.3541843758854609,0.3527777777777778,0.011764705882352941,0.0,-0.011764705882352941,0.0,0.0,0.0,0.18587820460424243,0.08608923884514441,0.08608923884514441,False,False,0.5576346138127273,False
