case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,113,112,14914.0,35929.19999999992,67010.63999999991,11923.0,18959.5,46253.05,0.5276905692305992,0.15695163806118892,0.15567230978789648,0.017699115044247787,0.0,-0.017699115044247787,0.0,0.0,0.0,1.4092191676762694e-18,-0.6847345132743363,0.0,False,False,1.5501410844438964e-17,False
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,112,112,15824.5,29642.699999999975,84452.35,12594.5,24462.399999999918,69998.39000000001,0.8252419651381263,0.15556268551197486,0.15567230978789648,0.017857142857142856,0.0,-0.017857142857142856,0.0,0.0,0.0,2.1927609850185775e-17,-0.6622289540816326,0.0,False,False,1.754208788014862e-16,False
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,113,111,181633.0,675376.7999999998,895256.3999999999,706137.0,1219642.0,1396802.9000000001,1.8058689608526681,0.15695163806118892,0.15428237845050455,0.017699115044247787,0.38738738738738737,0.3696882723431396,0.0,0.0,0.0,7.517858870470091e-23,0.7664035717133062,0.7664035717133062,False,False,9.77321653161112e-22,True
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,79,74,6276.0,10359.599999999999,14103.399999999994,4831.0,6296.749999999999,10600.299999999985,0.6078178694158075,0.10972725138791084,0.10285491896700302,0.012658227848101266,0.0,-0.012658227848101266,0.0,0.0,0.0,5.858330160303352e-16,-0.7663359562093739,0.0,False,False,4.100831112212347e-15,False
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},79,74,10021.0,20568.499999999996,57297.67999999998,8397.5,10601.15,29449.639999999825,0.5154070544765054,0.10972725138791084,0.10285491896700302,0.012658227848101266,0.013513513513513514,0.0008552856654122486,0.0,0.0,0.0,9.75615101161419e-10,-0.5833048238111529,0.0,False,False,4.878075505807095e-09,False
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},225,245,58809.0,173624.4,249823.5199999996,110637.0,796097.9999999997,894389.8,4.585173512478659,0.3125143235731638,0.34053317766102353,0.013333333333333334,0.2979591836734694,0.2846258503401361,0.0,0.0,0.0,1.106979348220237e-17,0.4612063492063492,0.4612063492063492,False,False,9.962814133982134e-17,True
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::GET /error,GET /error (direct),GET /error,0,2,,,,46040.5,84170.34999999999,87559.67,,0.0,0.0027798626747838656,,,,,0.0,,,,0.0,True,False,,False
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,84,67,54753.0,191682.94999999987,216156.02,47393.0,140708.09999999986,199840.30000000002,0.7340668536246961,0.11667201413398115,0.09312539960525949,0.011904761904761904,0.0,-0.011904761904761904,0.0,0.0,0.0,0.014899162487257813,-0.25408670931058985,0.0,False,False,0.029798324974515625,False
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,73,55,44866.0,74041.19999999995,153423.88000000003,91630.0,117360.7,287849.88000000035,1.5850729053553976,0.10139353609262647,0.07644622355655631,0.0136986301369863,0.01818181818181818,0.00448318804483188,0.0,0.0,0.0,1.0694157942891562e-18,0.9217932752179328,0.9217932752179328,False,False,1.2832989531469875e-17,True
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,106,84,62319.0,106525.5,178634.05000000002,123955.0,252798.39999999997,386402.9300000001,2.3731256835217853,0.14722897021669049,0.11675423234092236,0.018867924528301886,0.10714285714285714,0.08827493261455525,0.0,0.0,0.0,5.04437236533559e-27,0.9157681940700808,0.9157681940700808,False,False,7.062121311469827e-26,True
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,34,25,640723.5,1633054.8499999994,2040046.6500000006,1217839.0,1512265.5999999999,1518686.0,0.9260347868903487,0.04722438667327808,0.03474828343479832,0.029411764705882353,0.0,-0.029411764705882353,0.0,0.0,0.0,0.0017941781397125425,0.5105882352941176,0.5105882352941176,False,False,0.00717671255885017,True
re2tt_ts-route-service_mem_2,mem,ts-route-service,direct::POST /api/v1/preserveservice/preserve,POST /api/v1/preserveservice/preserve (direct),POST /api/v1/preserveservice/preserve,45,49,786628.0,2139136.1999999983,7943718.840000002,1326425.0,1739909.7999999998,1831777.0399999996,0.8133702753475918,0.06250286471463276,0.06810663553220471,0.022222222222222223,0.0,-0.022222222222222223,0.0,0.0,0.0,0.0028806433341852767,0.3823129251700681,0.3823129251700681,False,False,0.00864193000255583,True
