case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,113,108,13649.0,21883.399999999983,26963.519999999993,11624.0,15685.299999999994,22065.469999999987,0.7167670471681734,0.15694531636286868,0.1500043751276079,0.017699115044247787,0.009259259259259259,-0.008439855784988529,0.0,0.0,0.0,2.1898722571821044e-17,-0.6669124877089478,0.0,False,False,2.4088594829003147e-16,False
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,112,108,15894.0,34393.29999999996,69681.44000000002,12618.5,19296.549999999996,41746.66999999985,0.5610554962739841,0.15555641975788756,0.1500043751276079,0.017857142857142856,0.0,-0.017857142857142856,0.0,0.0,0.0,1.0522340556449103e-17,-0.6749338624338624,0.0,False,False,1.2626808667738924e-16,False
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,112,108,164402.5,499418.05,594524.06,297082.0,811093.2999999997,1008764.3799999992,1.6240768630609161,0.15555641975788756,0.1500043751276079,0.017857142857142856,0.1111111111111111,0.09325396825396826,0.0,0.0,0.0,0.08242477794341241,0.15939153439153442,0.15939153439153442,False,False,0.26478183412139633,False
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,82,77,6648.5,11774.250000000002,14681.239999999998,5061.0,6640.0,9813.51999999998,0.5639425016455399,0.11388952160845338,0.1069475637483871,0.012195121951219513,0.0,-0.012195121951219513,0.0,0.0,0.0,4.7925143159011736e-18,-0.8031358885017421,0.0,False,False,6.230268610671526e-17,False
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},82,77,10092.0,16306.300000000001,75002.00999999995,7640.0,9360.4,18424.559999999994,0.5740358021132935,0.11388952160845338,0.1069475637483871,0.012195121951219513,0.0,-0.012195121951219513,0.0,0.0,0.0,3.0796072127605706e-19,-0.8311688311688312,0.0,False,False,4.311450097864799e-18,False
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},259,264,60969.0,191939.3,244562.93999999977,62685.0,118017.6,140225.81000000008,0.6148693883951855,0.35972422069011495,0.36667736142304147,0.011583011583011582,0.0,-0.011583011583011582,0.0,0.0,0.0,0.05295636682427926,-0.11217386217386216,0.0,False,False,0.26478183412139633,False
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,73,86,57628.0,177689.99999999994,316453.4800000001,46671.0,114149.25,127997.65000000005,0.6424067195677868,0.10138945216362313,0.11944792834235442,0.0136986301369863,0.0,-0.0136986301369863,0.0,0.0,0.0,0.0014209096878875082,-0.31220133800573435,0.0,False,False,0.00852545812732505,False
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,47,69,52830.0,109707.39999999995,140496.37999999998,88145.0,117227.99999999999,121395.59999999999,1.0685514377334622,0.06527814043411352,0.09583612855374948,0.02127659574468085,0.0,-0.02127659574468085,0.0,0.0,0.0,5.772599468556364e-13,0.8008017267961764,0.8008017267961764,False,False,5.7725994685563636e-12,True
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,99,108,87247.0,125335.79999999974,178748.31999999998,153308.5,203739.25,218169.9699999999,1.6255471301894624,0.13750076389313273,0.1500043751276079,0.010101010101010102,0.19444444444444445,0.18434343434343434,0.0,0.0,0.0,2.1874548212723056e-29,0.9113355780022447,0.9113355780022447,False,False,3.2811822319084585e-28,True
re2tt_ts-route-service_socket_2,socket,ts-route-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,31,28,730213.0,1171612.5,1278461.5,638268.5,755304.2999999999,765280.01,0.6446707422462631,0.0430557947544153,0.03889002318123167,0.03225806451612903,0.0,-0.03225806451612903,0.0,0.0,0.0,0.05440419963848448,-0.33640552995391704,0.0,False,False,0.26478183412139633,False
