case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,117,80,10118.0,12713.39999999999,17019.360000000004,9929.0,12958.149999999994,19244.11,1.0192513411046615,0.1625,0.1111111111111111,0.017094017094017096,0.0375,0.020405982905982903,0.0,0.0,0.0,0.3749341786670868,-0.11079059829059834,0.0,False,False,1.0,False
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,117,79,10502.0,16932.0,18846.16,10429.0,12916.399999999998,17148.199999999997,0.7628395936687927,0.1625,0.10972222222222222,0.017094017094017096,0.0,-0.017094017094017096,0.0,0.0,0.0,1.0,-0.056366980417613344,0.0,False,False,1.0,False
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,118,78,147120.5,169495.25,263789.56,6161070.0,6522580.55,6613873.7700000005,38.482379594708405,0.1638888888888889,0.10833333333333334,0.01694915254237288,1.0,0.9830508474576272,0.0,0.0,0.0,4.98175725644054e-32,1.0,1.0,False,False,6.476284433372703e-31,True
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,93,56,3873.0,4649.999999999999,5630.959999999995,3651.0,4653.25,9239.35000000002,1.000698924731183,0.12916666666666668,0.07777777777777778,0.010752688172043012,0.03571428571428571,0.0249615975422427,0.0,0.0,0.0,0.04746185771734718,-0.22177419354838712,0.0,False,False,0.33223300402143024,False
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},93,56,6929.0,8323.599999999999,9195.079999999998,6791.0,7690.0,8158.900000000001,0.9238790907780289,0.12916666666666668,0.07777777777777778,0.010752688172043012,0.0,-0.010752688172043012,0.0,0.0,0.0,0.16852645086561044,-0.16935483870967738,0.0,False,False,0.6741058034624418,False
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},270,192,41701.5,53240.799999999996,92657.76000000001,40606.5,49477.45,86727.75000000003,0.9293145482411985,0.375,0.26666666666666666,0.011111111111111112,0.010416666666666666,-0.0006944444444444454,0.0,0.0,0.0,0.0002699873928468998,-0.20829475308641976,0.0,False,False,0.002159899142775198,False
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,70,76,42448.0,56610.549999999996,102361.12000000001,20005.5,59852.25,115650.25,1.0572631779765433,0.09722222222222222,0.10555555555555556,0.014285714285714285,0.02631578947368421,0.012030075187969924,0.0,0.0,0.0,1.0,-0.06203007518796988,0.0,False,False,1.0,False
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,54,53,226709.0,283815.64999999997,291361.51,262796.0,291177.6,299597.16,1.025939196799049,0.075,0.07361111111111111,0.018518518518518517,0.03773584905660377,0.019217330538085255,0.0,0.0,0.0,3.444010797134265e-09,0.6757512229210343,0.6757512229210343,False,False,3.444010797134265e-08,True
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,103,80,396746.0,471159.69999999995,498235.48000000004,457352.0,512316.75,546160.2199999999,1.0873526534633586,0.14305555555555555,0.1111111111111111,0.019417475728155338,0.1125,0.09308252427184466,0.0,0.0,0.0,6.722237795810244e-19,0.7728155339805824,0.7728155339805824,False,False,8.066685354972293e-18,True
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,31,17,481215.0,526360.0,544893.4,4091539.0,4349144.0,4387905.6,8.262679534919068,0.043055555555555555,0.02361111111111111,0.03225806451612903,1.0,0.967741935483871,0.0,0.0,0.0,2.8646758316425715e-08,1.0,1.0,False,False,2.578208248478314e-07,True
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/preserveservice/preserve,POST /api/v1/preserveservice/preserve (direct),POST /api/v1/preserveservice/preserve,62,39,467230.0,521404.6,588408.98,4097303.0,4374224.7,4598558.56,8.389309760596666,0.08611111111111111,0.05416666666666667,0.016129032258064516,1.0,0.9838709677419355,0.0,0.0,0.0,6.934586481188522e-17,1.0,1.0,False,False,7.628045129307374e-16,True
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,916,671,283270.0,321484.0,359095.20000000024,2690319.0,2991473.0,3113021.4,9.305200258799816,1.2722222222222221,0.9319444444444445,0.010917030567685589,0.9985096870342772,0.9875926564665917,0.0,0.0,0.0,3.078999114800044e-253,0.9980996882707813,0.9980996882707813,False,False,4.618498672200066e-252,True
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,286,197,631464.0,707405.5,799791.6999999997,7832225.0,8254725.2,8576703.239999998,11.669014730589456,0.3972222222222222,0.27361111111111114,0.01048951048951049,1.0,0.9895104895104895,0.0,0.0,0.0,1.2564289503136602e-77,1.0,1.0,False,False,1.7590005304391244e-76,True
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::POST /api/v1/users/login,POST /api/v1/users/login (direct),POST /api/v1/users/login,1002,731,217743.5,613341.4499999998,868919.1100000002,214459.0,582501.0,905302.2000000001,0.9497173230343394,1.3916666666666666,1.0152777777777777,0.010978043912175649,0.013679890560875513,0.0027018466486998637,0.0,0.0,0.0,0.0705575130420938,-0.05913753887573692,0.0,False,False,0.42334507825256285,False
re2tt_ts-train-service_delay_3,delay,ts-train-service,direct::PUT /api/v1/consignservice/consigns,PUT /api/v1/consignservice/consigns (direct),PUT /api/v1/consignservice/consigns,87,57,22265.0,28194.800000000003,30971.44,21044.0,25880.19999999999,30285.519999999993,0.9179068480712751,0.12083333333333333,0.07916666666666666,0.011494252873563218,0.017543859649122806,0.006049606775559588,0.0,0.0,0.0,0.1221224737585416,-0.18511796733212338,0.0,False,False,0.610612368792708,False
