case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,121,114,9884.0,11960.0,25100.199999999986,9753.0,14433.849999999991,22463.680000000026,1.2068436454849492,0.1680641921876541,0.15833355324104617,0.01652892561983471,0.008771929824561403,-0.007756995795273308,0.0,0.0,0.0,1.0,-0.038422502537335035,0.0,False,False,1.0,False
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,121,114,10501.0,12862.0,18001.199999999997,10339.0,16116.799999999992,23835.670000000016,1.253055512361996,0.1680641921876541,0.15833355324104617,0.01652892561983471,0.043859649122807015,0.027330723502972304,0.0,0.0,0.0,0.37241150858177563,-0.09989850659707122,0.0,False,False,1.0,False
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,119,115,128399.0,143530.6,157996.59999999998,219006.0,742709.4,851786.72,5.17457183346269,0.16528627165562676,0.15972244405895009,0.01680672268907563,0.6260869565217392,0.6092802338326635,0.0,0.0,0.0,1.5442169160054004e-22,0.7443916697113628,0.7443916697113628,False,False,2.0074819908070207e-21,True
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,87,77,3934.0,5402.700000000001,7041.100000000004,3759.0,4589.6,7481.99999999996,0.8495011753382568,0.12083954314318932,0.10694459297860136,0.011494252873563218,0.012987012987012988,0.0014927601134497696,0.0,0.0,0.0,0.00038317727495912,-0.33811016569637264,0.0,False,False,0.0038317727495911997,False
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},87,77,6929.0,8325.0,9899.180000000004,6574.0,7955.0,12346.639999999934,0.9555555555555556,0.12083954314318932,0.10694459297860136,0.011494252873563218,0.012987012987012988,0.0014927601134497696,0.0,0.0,0.0,0.0016397810078838673,-0.303328855052993,0.0,False,False,0.013118248063070938,False
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},257,253,42878.0,55898.19999999999,95811.63999999998,42398.0,69723.59999999993,117665.76,1.2473317566576374,0.35696278836551326,0.3513893769296902,0.011673151750972763,0.03162055335968379,0.01994740160871103,0.0,0.0,0.0,0.1622072883674327,-0.08929422801864018,0.0,False,False,0.8110364418371635,False
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,67,81,43336.0,104873.59999999996,192075.76000000004,40414.0,97564.0,133843.80000000008,0.9303008574131147,0.09306033782291591,0.112500156250217,0.014925373134328358,0.0,-0.014925373134328358,0.0,0.0,0.0,0.20640874635714174,-0.15607149437995205,0.0,False,False,0.825634985428567,False
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,74,58,170233.0,201685.49999999997,220464.0699999999,222848.0,260525.0,270901.97,1.2917388706674502,0.1027830596850116,0.080555667438427,0.013513513513513514,0.5172413793103449,0.5037278657968314,0.0,0.0,0.0,8.157866958832926e-20,0.9338303821062441,0.9338303821062441,False,False,9.78944035059951e-19,True
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,79,104,205712.0,265956.2,308823.72,282431.5,332903.19999999995,395476.54999999993,1.2517219000722672,0.10972786101507995,0.14444464506200702,0.012658227848101266,0.16346153846153846,0.15080331061343719,0.0,0.0,0.0,1.5944997173705928e-25,0.9079844206426484,0.9079844206426484,False,False,2.23229960431883e-24,True
re2tt_ts-train-service_disk_1,disk,ts-train-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,40,26,473903.0,605507.0,623905.88,495507.5,754511.0,784371.75,1.2460813830393374,0.055558410640546806,0.036111161265501755,0.025,0.23076923076923078,0.2057692307692308,0.0,0.0,0.0,0.032072500036663516,0.3538461538461539,0.3538461538461539,False,False,0.22450750025664462,False
