case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,115,112,11346.0,13888.699999999999,22620.739999999998,10998.5,13959.8,18442.08,1.005119269622067,0.15972288773425447,0.15555577160523834,0.017391304347826087,0.0,-0.017391304347826087,0.0,0.0,0.0,0.1161528219638435,-0.14565217391304353,0.0,False,False,0.5807641098192174,False
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,115,111,11081.0,14180.599999999993,18311.0,11252.0,18294.5,44250.90000000012,1.2901076118076815,0.15972288773425447,0.15416688078733443,0.017391304347826087,0.05405405405405406,0.03666274970622797,0.0,0.0,0.0,1.0,0.04810027418723073,0.04810027418723073,False,False,1.0,False
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,116,111,153063.5,174892.25,189217.14999999997,622977.0,1598319.5,2035247.4000000001,9.138881225440235,0.1611117824102045,0.15416688078733443,0.017241379310344827,0.9099099099099099,0.8926685305995651,0.0,0.0,0.0,1.1930205506309798e-35,0.9617893755824791,0.9617893755824791,False,False,1.5509267158202737e-34,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,108,96,3300.5,4196.599999999999,4647.349999999999,3116.5,3832.75,4082.8999999999996,0.9132988609827004,0.1500006250026042,0.13333351851877573,0.018518518518518517,0.0,-0.018518518518518517,0.0,0.0,0.0,1.2334130876110385e-05,-0.3670910493827161,0.0,False,False,8.63389161327727e-05,False
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},108,96,7656.5,9570.049999999997,12291.299999999996,7179.5,8901.5,13227.449999999988,0.930141430818021,0.1500006250026042,0.13333351851877573,0.018518518518518517,0.020833333333333332,0.0023148148148148147,0.0,0.0,0.0,3.393342584457385e-07,-0.4246720679012346,0.0,False,False,2.714674067565908e-06,False
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},319,283,43089.0,51714.99999999999,56284.81999999999,44106.0,52971.5,61805.260000000046,1.0242966257372137,0.44305740162806234,0.3930561014668076,0.012539184952978056,0.028268551236749116,0.01572936628377106,0.0,0.0,0.0,0.0004848191648120441,0.17318918439912712,0.17318918439912712,False,False,0.0029089149888722647,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,88,83,17469.5,74457.84999999996,130476.74999999975,14631.0,57208.0,71625.25999999972,0.7683273153871624,0.12222273148360341,0.11527793788602483,0.011363636363636364,0.0,-0.011363636363636364,0.0,0.0,0.0,1.0,-0.058461117196056955,0.0,False,False,1.0,False
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,72,75,374920.0,424441.7,450593.7000000001,423031.0,515486.8,553792.4600000001,1.2145055492898083,0.10000041666840279,0.10416681134279353,0.013888888888888888,0.29333333333333333,0.27944444444444444,0.0,0.0,0.0,5.799226639628816e-15,0.7548148148148148,0.7548148148148148,False,False,5.799226639628816e-14,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,101,94,543441.0,629499.0,667422.0,642863.5,729800.0999999999,769329.3599999999,1.159334804344407,0.14027836227095392,0.1305557368829679,0.009900990099009901,0.3829787234042553,0.3730777333052454,0.0,0.0,0.0,2.9994241791469726e-23,0.8297872340425532,0.8297872340425532,False,False,3.599309014976367e-22,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,43,41,549520.0,695805.6,710380.1599999999,952526.0,1394449.0,1578967.4000000001,2.0040784380004992,0.059722471065851664,0.05694452353406046,0.023255813953488372,0.8048780487804879,0.7816222348269994,0.0,0.0,0.0,2.5639670254470507e-12,0.9001701644923426,0.9001701644923426,False,False,2.3075703229023455e-11,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/preserveservice/preserve,POST /api/v1/preserveservice/preserve (direct),POST /api/v1/preserveservice/preserve,65,55,516911.0,600992.5999999999,718353.08,931534.0,1764210.3999999997,2395767.7400000007,2.9354943804632536,0.09027815393675252,0.07638899498471526,0.015384615384615385,0.7636363636363637,0.7482517482517483,0.0,0.0,0.0,3.268906282464479e-18,0.932867132867133,0.932867132867133,False,False,3.595796910710927e-17,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/travel2service/trips/left,POST /api/v1/travel2service/trips/left (direct),POST /api/v1/travel2service/trips/left,1032,990,328172.0,367813.45,392701.99999999977,538091.0,1168533.15,1696919.1400000001,3.1769723211590004,1.43333930558044,1.3750019097248747,0.01065891472868217,0.6595959595959596,0.6489370448672774,0.0,0.0,0.0,1.2688119182219466e-175,0.726503406154569,0.726503406154569,False,False,1.90321787733292e-174,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/travelservice/trips/left,POST /api/v1/travelservice/trips/left (direct),POST /api/v1/travelservice/trips/left,328,300,343380.0,786237.2499999999,860616.92,1108439.5,2194926.7500000005,2874044.7499999977,2.791685016195812,0.4555574537116127,0.4166672453711741,0.012195121951219513,0.5966666666666667,0.5844715447154472,0.0,0.0,0.0,2.946302704082996e-43,0.6388414634146342,0.6388414634146342,False,False,4.124823785716195e-42,True
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::POST /api/v1/users/login,POST /api/v1/users/login (direct),POST /api/v1/users/login,1105,1060,230631.0,716580.7999999998,1077042.000000001,228375.0,806267.45,1242474.0600000022,1.1251591586043055,1.534728616924793,1.4722242669781485,0.01085972850678733,0.020754716981132074,0.009894988474344744,0.0,0.0,0.0,1.0,-0.0038060274908221503,0.0,False,False,1.0,False
re2tt_ts-train-service_loss_1,loss,ts-train-service,direct::PUT /api/v1/consignservice/consigns,PUT /api/v1/consignservice/consigns (direct),PUT /api/v1/consignservice/consigns,85,86,21740.0,26098.6,48347.999999999796,21410.5,28239.0,39680.4,1.0820120619496831,0.1180560474557533,0.11944461033973658,0.011764705882352941,0.0,-0.011764705882352941,0.0,0.0,0.0,0.4882900903408569,-0.10328317373461016,0.0,False,False,1.0,False
