case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,107,106,14764.0,28948.39999999999,61384.259999999995,12387.5,27442.0,118519.3,0.9479625816970889,0.14861812918943396,0.1472488088127023,0.018691588785046728,0.04716981132075472,0.028478222535707993,0.0,0.0,0.0,2.665464126689246e-11,-0.5365896667254453,0.0,False,False,1.8658248886824724e-10,False
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,108,106,15980.5,46448.899999999754,85775.52999999987,13088.0,18038.5,66645.40000000011,0.38835150025081533,0.15000708366783988,0.1472488088127023,0.018518518518518517,0.009433962264150943,-0.009084556254367574,0.0,0.0,0.0,2.4717771142330857e-17,-0.6765373864430468,0.0,False,False,2.718954825656394e-16,False
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,107,105,191836.0,608277.6,735006.52,583498.0,1588839.2,1985016.7599999993,2.6120297706178888,0.14861812918943396,0.14585966910692208,0.018691588785046728,0.4095238095238095,0.3908322207387628,0.0,0.0,0.0,4.968294956019162e-23,0.791188251001335,0.791188251001335,False,False,6.458783442824911e-22,True
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,71,65,6588.0,10969.0,24141.499999999913,5171.0,6774.799999999999,10854.999999999996,0.6176315069742,0.09861576796682066,0.09029408087571367,0.014084507042253521,0.0,-0.014084507042253521,0.0,0.0,0.0,4.612902816848308e-11,-0.6652221018418202,0.0,False,False,2.767741690108985e-10,False
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},71,65,10864.0,29737.5,61915.09999999997,8387.0,10244.4,17064.839999999993,0.34449432534678437,0.09861576796682066,0.09029408087571367,0.014084507042253521,0.0,-0.014084507042253521,0.0,0.0,0.0,1.3449367313291375e-14,-0.7750812567713976,0.0,False,False,1.2104430581962237e-13,False
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},259,226,62683.0,191928.9,230823.95999999996,50169.0,153177.75,274271.0,0.7980963262958315,0.3597392099071345,0.3139455735063275,0.011583011583011582,0.022123893805309734,0.010540882222298152,0.0,0.0,0.0,3.460964481386452e-19,-0.47502306351863877,0.0,False,False,4.153157377663742e-18,False
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,71,98,59819.0,207018.0,306382.4999999992,19642.0,97415.34999999999,113508.43000000001,0.470564636891478,0.09861576796682066,0.1361356911664606,0.014084507042253521,0.0,-0.014084507042253521,0.0,0.0,0.0,2.7717016062133403e-06,-0.43575740155217013,0.0,False,False,1.1086806424853361e-05,False
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,53,73,48534.0,80693.0,146521.91999999975,78555.0,94532.19999999998,115225.40000000004,1.1715043436233623,0.07361458735551402,0.10140719852195536,0.018867924528301886,0.0,-0.018867924528301886,0.0,0.0,0.0,5.71056648102611e-15,0.8263117084517964,0.8263117084517964,False,False,5.710566481026109e-14,True
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,93,106,65643.0,97728.19999999991,200340.7199999999,119917.5,164618.75,176533.05000000002,1.684454947497244,0.129172766491751,0.1472488088127023,0.010752688172043012,0.009433962264150943,-0.0013187259078920686,0.0,0.0,0.0,1.4986389583691638e-25,0.8646784337593831,0.8646784337593831,False,False,2.0980945417168294e-24,True
re2tt_ts-train-service_mem_2,mem,ts-train-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,30,21,643262.5,1232623.9999999998,1352100.3900000001,655890.0,1872156.0,2113091.2,1.5188378613429565,0.04166863435217774,0.029171933821384416,0.03333333333333333,0.09523809523809523,0.0619047619047619,0.0,0.0,0.0,1.0,0.0793650793650793,0.0793650793650793,False,False,1.0,False
