case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,116,114,9976.0,12704.5,18468.7,10136.0,13052.299999999994,17938.32,1.0273761265693253,0.16111111111111112,0.15836280641119319,0.017241379310344827,0.008771929824561403,-0.008469449485783424,0.0,0.0,0.0,1.0,0.033348457350272254,0.033348457350272254,False,False,1.0,False
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,116,115,10527.0,16215.5,34814.24999999989,10433.0,12865.199999999999,18820.62,0.7933890413493262,0.16111111111111112,0.15975195383585278,0.017241379310344827,0.0,-0.017241379310344827,0.0,0.0,0.0,0.9253157486688557,-0.055997001499250354,0.0,False,False,1.0,False
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,116,114,133239.0,155006.75,183333.14999999994,257011.0,336699.89999999997,437942.7200000003,2.172162825167291,0.16111111111111112,0.15836280641119319,0.017241379310344827,0.9122807017543859,0.895039322444041,0.0,0.0,0.0,1.4016349708865331e-38,0.9953115547489413,0.9953115547489413,False,False,1.9622889592411464e-37,True
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,81,71,3690.0,4363.0,5348.4000000000115,3586.0,4700.0,8173.699999999973,1.0772404308961723,0.1125,0.09862946715083085,0.012345679012345678,0.028169014084507043,0.015823335072161365,0.0,0.0,0.0,0.11928789522228823,-0.17753434185359063,0.0,False,False,0.7157273713337294,False
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},81,71,6934.0,8342.0,13641.000000000022,6535.0,7762.0,8301.5,0.9304723087988492,0.1125,0.09862946715083085,0.012345679012345678,0.0,-0.012345679012345678,0.0,0.0,0.0,0.011157514216573934,-0.26117197009215787,0.0,False,False,0.07810259951601754,False
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},269,233,41625.0,57335.399999999994,103446.91999999998,83426.0,111634.79999999999,118146.40000000001,1.9470484203476386,0.3736111111111111,0.32367134994568436,0.011152416356877323,0.2317596566523605,0.22060724029548318,0.0,0.0,0.0,4.7341057447201515e-34,0.6321617180145827,0.6321617180145827,False,False,6.1543374681361974e-33,True
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,77,71,14063.0,56210.8,84543.27999999993,41867.0,57352.0,104975.79999999999,1.0203021483415997,0.10694444444444444,0.09862946715083085,0.012987012987012988,0.028169014084507043,0.015182001097494055,0.0,0.0,0.0,0.13890930680225083,0.17322114505213104,0.17322114505213104,False,False,0.7157273713337294,False
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,71,68,242186.0,288414.5,301422.3,289314.0,319670.3,331043.68,1.1083711117159505,0.09861111111111111,0.09446202487685208,0.014084507042253521,0.3088235294117647,0.2947390223695112,0.0,0.0,0.0,2.952384685439922e-18,0.8645401822700911,0.8645401822700911,False,False,3.247623153983914e-17,True
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,87,87,222082.0,277563.50000000006,291900.7,300440.0,348962.7,358652.26,1.2572355515044302,0.12083333333333333,0.12085582594538428,0.011494252873563218,0.632183908045977,0.6206896551724138,0.0,0.0,0.0,2.719870416724116e-26,0.9371119038182059,0.9371119038182059,False,False,3.2638445000689393e-25,True
re2tt_ts-travel-service_cpu_2,cpu,ts-travel-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,31,33,492136.0,585402.5,619310.5,501465.0,543708.0,554686.64,0.9287763547302924,0.043055555555555555,0.04584186501376645,0.03225806451612903,0.0,-0.03225806451612903,0.0,0.0,0.0,1.0,0.0889540566959921,0.0889540566959921,False,False,1.0,False
