case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,115,109,10595.0,13264.8,19003.02,10518.0,12554.8,13236.04,0.9464748808877631,0.15972310957283095,0.1515071486354627,0.017391304347826087,0.0,-0.017391304347826087,0.0,0.0,0.0,0.3214477578022883,-0.10857598723573991,0.0,False,False,1.0,False
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,115,109,11165.0,13989.8,19803.12,11000.0,12943.2,19057.32,0.9251883515132454,0.15972310957283095,0.1515071486354627,0.017391304347826087,0.0,-0.017391304347826087,0.0,0.0,0.0,0.3183807294739722,-0.1089748703629837,0.0,False,False,1.0,False
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,114,110,149067.5,167759.65,179757.49000000005,364853.0,1101753.7499999998,2523698.5999999964,6.567453794759347,0.15833421296784983,0.152897122476155,0.017543859649122806,0.6363636363636364,0.6188197767145136,0.0,0.0,0.0,2.1379625480091317e-18,0.6827751196172249,0.6827751196172249,False,False,2.779351312411871e-17,True
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,86,85,3542.0,4396.75,7118.350000000053,3440.0,4193.4,4650.479999999999,0.953749928924774,0.11944510802837793,0.11814777645884704,0.011627906976744186,0.0,-0.011627906976744186,0.0,0.0,0.0,0.03288899212699724,-0.21258549931600546,0.0,False,False,0.2631119370159779,False
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},86,84,7815.5,8796.5,20524.85,7502.0,8969.7,11424.680000000015,1.0196896492923322,0.11944510802837793,0.11675780261815473,0.011627906976744186,0.0,-0.011627906976744186,0.0,0.0,0.0,0.09843979140948114,-0.17483388704318936,0.0,False,False,0.689078539866368,False
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},286,279,44200.0,57241.0,110493.34999999985,45997.0,307041.9999999998,1510086.99999992,5.364022291713979,0.3972244290246057,0.38780270155315677,0.01048951048951049,0.22580645161290322,0.21531694112339272,0.0,0.0,0.0,3.5123817119138294e-06,0.2324234904880067,0.2324234904880067,False,False,3.512381711913829e-05,True
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,85,103,46252.0,59870.2,103487.31999999995,44914.0,59628.799999999974,110027.7800000001,0.9959679439854883,0.1180562114233968,0.14316730559130877,0.011764705882352941,0.019417475728155338,0.007652769845802397,0.0,0.0,0.0,0.26723600901888533,-0.1273557966876071,0.0,False,False,1.0,False
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,65,75,275782.0,320520.39999999997,341857.52,338826.0,396873.6,436650.16000000027,1.2382163506597397,0.09027827932377402,0.10424803805192387,0.015384615384615385,0.4266666666666667,0.4112820512820513,0.0,0.0,0.0,3.324325823304139e-17,0.8363076923076924,0.8363076923076924,False,False,3.989190987964967e-16,True
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,110,111,505261.5,587034.8,663815.69,592742.0,667725.5,717146.3000000002,1.1374547130766353,0.15277862654792526,0.1542870963168473,0.01818181818181818,0.08108108108108109,0.0628992628992629,0.0,0.0,0.0,1.6360815000435128e-21,0.7472563472563472,0.7472563472563472,False,False,2.2905141000609178e-20,True
re2tt_ts-travel-service_loss_3,loss,ts-travel-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,30,39,523344.0,563367.7,567705.12,509386.0,589035.9,725308.8999999997,1.0455620725149846,0.04166689814943417,0.05420897978700041,0.03333333333333333,0.07692307692307693,0.043589743589743594,0.0,0.0,0.0,0.7343379032721182,-0.1282051282051282,0.0,False,False,1.0,False
