case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,116,113,9359.0,12196.0,15923.84999999998,9759.0,12685.799999999996,88752.07999999991,1.0401607084289928,0.1611200622256792,0.15694509838235438,0.017241379310344827,0.035398230088495575,0.018156850778150747,0.0,0.0,0.0,0.002332653109481072,0.24839792493133972,0.24839792493133972,False,False,0.016328571766367504,True
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,116,113,10083.5,12706.25,17696.449999999997,10396.0,21167.399999999987,90586.35999999991,1.6659045745204122,0.1611200622256792,0.15694509838235438,0.017241379310344827,0.061946902654867256,0.04470552334452243,0.0,0.0,0.0,0.01797379619632041,0.1998779371376258,0.1998779371376258,False,False,0.08986898098160206,False
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,115,113,138055.0,154208.0,168965.36,330745.0,1237113.7999999998,1350184.16,8.022371083212283,0.15973109617200953,0.15694509838235438,0.017391304347826087,0.9911504424778761,0.97375913813005,0.0,0.0,0.0,2.3088971360290918e-38,0.9967679876875721,0.9967679876875721,False,False,3.0015662768378193e-37,True
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,70,89,4090.0,4777.5,5110.810000000001,3832.0,4705.599999999999,5356.76,0.9849502878074305,0.09722762375687538,0.12361162615955346,0.014285714285714285,0.033707865168539325,0.01942215088282504,0.0,0.0,0.0,0.00030052210373456256,-0.35088282504012847,0.0,False,False,0.0024041768298765005,False
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},70,89,6506.5,7911.3,11283.180000000018,6106.0,8032.599999999999,17574.240000000005,1.0153324990835892,0.09722762375687538,0.12361162615955346,0.014285714285714285,0.033707865168539325,0.01942215088282504,0.0,0.0,0.0,0.010610831259143052,-0.2581059390048154,0.0,False,False,0.0636649875548583,False
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},261,222,42979.0,55233.0,99367.39999999988,97659.5,908192.7999999999,1159770.6299999992,16.44293809860047,0.3625201400077782,0.3083346180609086,0.011494252873563218,0.47297297297297297,0.46147872009940977,0.0,0.0,0.0,1.1931358225524946e-55,0.8315729522626074,0.8315729522626074,False,False,1.6703901515734925e-54,True
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,78,78,14737.0,56855.69999999999,70860.71000000012,43661.0,190219.94999999992,338340.0100000004,3.34566191252592,0.10833935218623256,0.10833378472410303,0.01282051282051282,0.16666666666666666,0.15384615384615383,0.0,0.0,0.0,0.2206362257663131,0.14825772518080216,0.14825772518080216,False,False,0.8825449030652524,False
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,65,59,229973.0,277044.39999999997,287790.44,279965.0,331117.3,413912.4000000002,1.1951777404632615,0.09028279348852714,0.08194478588105229,0.015384615384615385,0.288135593220339,0.2727509778357236,0.0,0.0,0.0,1.8286282470876585e-16,0.8670143415906129,0.8670143415906129,False,False,1.6457654223788926e-15,True
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,107,78,412323.0,456859.99999999994,494141.54,488812.0,559761.2,593160.65,1.2252357396138862,0.14861936774265236,0.10833378472410303,0.018691588785046728,0.4230769230769231,0.40438533429187634,0.0,0.0,0.0,8.511998121452739e-26,0.9108554996405465,0.9108554996405465,False,False,9.363197933598013e-25,True
re2tt_ts-travel-service_mem_1,mem,ts-travel-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,26,31,495220.5,572967.0,626638.0,508915.0,831627.0,895474.4,1.4514396117053863,0.03611311739541086,0.043055734954451204,0.038461538461538464,0.1935483870967742,0.15508684863523572,0.0,0.0,0.0,0.24416283454528856,0.2406947890818858,0.2406947890818858,False,False,0.8825449030652524,False
