case,fault_type,target_service,journey_type,journey_label,signature,n_baseline,n_fault,baseline_p50,baseline_p95,baseline_p99,fault_p50,fault_p95,fault_p99,p95_ratio,baseline_throughput,fault_throughput,baseline_degraded_rate,fault_degraded_rate,degraded_rate_delta,baseline_fail_rate,fault_fail_rate,fail_rate_delta,p_value_raw,effect_size,impairment_magnitude,insufficient_data,short_window,p_value,impaired
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/configs,GET /api/v1/adminbasicservice/adminbasic/configs (direct),GET /api/v1/adminbasicservice/adminbasic/configs,123,116,9530.0,11799.8,16551.9,8998.0,11495.5,13987.599999999997,0.9742114273123272,0.1708333333333333,0.1611111111111111,0.016260162601626,0.0,-0.016260162601626,0.0,0.0,0.0,7.534565987829155e-06,-0.3462994112699747,0.0,False,False,6.78110938904624e-05,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::GET /api/v1/adminbasicservice/adminbasic/prices,GET /api/v1/adminbasicservice/adminbasic/prices (direct),GET /api/v1/adminbasicservice/adminbasic/prices,122,116,9896.0,13194.95,18075.5,9330.5,11969.5,15875.999999999993,0.9071273479626676,0.1694444444444444,0.1611111111111111,0.0163934426229508,0.0,-0.0163934426229508,0.0,0.0,0.0,4.8017031653856014e-05,-0.3169869983041266,0.0,False,False,0.0003373220114918,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::GET /api/v1/admintravelservice/admintravel,GET /api/v1/admintravelservice/admintravel (direct),GET /api/v1/admintravelservice/admintravel,121,116,151641.0,170882.0,176453.4,144851.0,159017.5,163589.94999999998,0.9305690476469144,0.1680555555555555,0.1611111111111111,0.0165289256198347,0.0,-0.0165289256198347,0.0,0.0,0.0,8.929288487632971e-09,-0.4410800797948133,0.0,False,False,1.0715146185159567e-07,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::GET /api/v1/assuranceservice/assurances/types,GET /api/v1/assuranceservice/assurances/types (direct),GET /api/v1/assuranceservice/assurances/types,83,67,3201.0,4002.5,4255.879999999998,2862.0,3528.9,6654.480000000029,0.8816739537788882,0.1152777777777777,0.0930555555555555,0.0120481927710843,0.0149253731343283,0.002877180363244,0.0,0.0,0.0,5.230513826536249e-06,-0.4472217227117425,0.0,False,False,5.230513826536249e-05,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::GET /api/v1/contactservice/contacts/account/{accountId},GET /api/v1/contactservice/contacts/account/{accountId} (direct),GET /api/v1/contactservice/contacts/account/{accountId},83,67,5540.0,6909.899999999999,7326.939999999995,5508.0,6718.5,12609.44,0.9723006121651544,0.1152777777777777,0.0930555555555555,0.0120481927710843,0.0298507462686567,0.0178025534975723,0.0,0.0,0.0,0.3458918578257408,-0.1298327638913864,0.0,False,False,1.0,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId} (direct),GET /api/v1/foodservice/foods/{date}/{startStation}/{endStation}/{tripId},272,267,43087.5,52057.4,57593.78000000001,41356.0,50615.7,56501.14,0.9723055703896084,0.3777777777777777,0.3708333333333333,0.0110294117647058,0.0037453183520599,-0.0072840934126459,0.0,0.0,0.0,1.2592169715744468e-11,-0.342173386208416,0.0,False,False,1.6369820630467807e-10,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::POST /api/v1/inside_pay_service/inside_payment,POST /api/v1/inside_pay_service/inside_payment (direct),POST /api/v1/inside_pay_service/inside_payment,87,77,42458.0,59054.2,62863.22,43676.0,52788.0,57325.92,0.8938906970207029,0.1208333333333333,0.1069444444444444,0.0114942528735632,0.0,-0.0114942528735632,0.0,0.0,0.0,0.476336141124603,-0.1070309001343484,0.0,False,False,1.0,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::POST /api/v1/orderOtherService/orderOther/refresh,POST /api/v1/orderOtherService/orderOther/refresh (direct),POST /api/v1/orderOtherService/orderOther/refresh,56,57,616261.5,700585.0,726316.25,623589.0,707967.4,758215.5599999997,1.0105374793922222,0.0777777777777777,0.0791666666666666,0.0178571428571428,0.0175438596491228,-0.00031328320802,0.0,0.0,0.0,0.4149813801463129,0.1378446115288221,0.1378446115288221,False,False,1.0,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::POST /api/v1/orderservice/order/refresh,POST /api/v1/orderservice/order/refresh (direct),POST /api/v1/orderservice/order/refresh,98,93,915812.5,1037740.95,1062917.75,927234.0,1038039.8,1097624.04,1.0002879813117136,0.1361111111111111,0.1291666666666666,0.010204081632653,0.032258064516129,0.0220539828834759,0.0,0.0,0.0,0.378179056930078,0.1101601931095017,0.1101601931095017,False,False,1.0,False
re2tt_ts-auth-service_cpu_1,cpu,ts-auth-service,direct::POST /api/v1/preserveotherservice/preserveOther,POST /api/v1/preserveotherservice/preserveOther (direct),POST /api/v1/preserveotherservice/preserveOther,35,26,546610.0,584320.7999999999,610716.6199999999,532533.0,575109.0,588365.75,0.9842350297986996,0.0486111111111111,0.0361111111111111,0.0285714285714285,0.0,-0.0285714285714285,0.0,0.0,0.0,0.3453895540861806,-0.2065934065934066,0.0,False,False,1.0,False
