source,target,calls
ts-admin-basic-info-service,ts-config-service,1136
ts-admin-basic-info-service,ts-price-service,1135
ts-admin-travel-service,ts-travel-service,1136
ts-admin-travel-service,ts-travel2-service,1136
ts-basic-service,ts-price-service,16254
ts-basic-service,ts-route-service,16254
ts-basic-service,ts-station-service,166850
ts-basic-service,ts-train-service,16254
ts-consign-service,ts-consign-price-service,737
ts-food-service,ts-food-map-service,5294
ts-food-service,ts-station-service,5294
ts-food-service,ts-travel-service,2647
ts-inside-payment-service,ts-order-other-service,451
ts-inside-payment-service,ts-order-service,748
ts-inside-payment-service,ts-payment-service,390
ts-order-other-service,ts-station-service,591
ts-order-service,ts-station-service,954
ts-preserve-other-service,ts-assurance-service,144
ts-preserve-other-service,ts-contacts-service,306
ts-preserve-other-service,ts-food-service,165
ts-preserve-other-service,ts-order-other-service,307
ts-preserve-other-service,ts-seat-service,307
ts-preserve-other-service,ts-security-service,306
ts-preserve-other-service,ts-station-service,614
ts-preserve-other-service,ts-ticketinfo-service,307
ts-preserve-other-service,ts-travel2-service,306
ts-preserve-other-service,ts-user-service,307
ts-preserve-service,ts-assurance-service,199
ts-preserve-service,ts-contacts-service,413
ts-preserve-service,ts-food-service,224
ts-preserve-service,ts-order-service,415
ts-preserve-service,ts-seat-service,415
ts-preserve-service,ts-security-service,413
ts-preserve-service,ts-station-service,830
ts-preserve-service,ts-ticketinfo-service,415
ts-preserve-service,ts-travel-service,413
ts-preserve-service,ts-user-service,415
ts-seat-service,ts-config-service,31071
ts-seat-service,ts-order-other-service,19302
ts-seat-service,ts-order-service,12492
ts-seat-service,ts-travel-service,24983
ts-seat-service,ts-travel2-service,38604
ts-security-service,ts-order-other-service,719
ts-security-service,ts-order-service,719
ts-ticketinfo-service,ts-basic-service,118090
ts-travel-service,ts-order-service,6037
ts-travel-service,ts-route-service,34532
ts-travel-service,ts-seat-service,12076
ts-travel-service,ts-ticketinfo-service,36338
ts-travel-service,ts-train-service,24209
ts-travel2-service,ts-order-other-service,9495
ts-travel2-service,ts-route-service,71232
ts-travel2-service,ts-seat-service,18993
ts-travel2-service,ts-ticketinfo-service,81028
ts-travel2-service,ts-train-service,34479
